Area code,URL,Suara Total,Suara Sah,Suara Tidak Sah,Paslon 01,Paslon 02,Paslon 03
1105022006002,https://kawalpemilu.org/h/11050220062,null,null,null,null,null,null
1105022006003,https://kawalpemilu.org/h/11050220063,null,null,null,null,null,null
1105022044001,https://kawalpemilu.org/h/11050220441,null,null,null,null,null,null
1105022021001,https://kawalpemilu.org/h/11050220211,null,null,null,null,null,null
1105022021002,https://kawalpemilu.org/h/11050220212,null,null,null,null,null,null
1105022046001,https://kawalpemilu.org/h/11050220461,null,null,null,null,null,null
1105022002001,https://kawalpemilu.org/h/11050220021,null,null,null,201,38,7
1105022002002,https://kawalpemilu.org/h/11050220022,null,null,null,230,34,5
1105022001001,https://kawalpemilu.org/h/11050220011,null,null,null,null,null,null
1105022001002,https://kawalpemilu.org/h/11050220012,null,null,null,null,null,null
1105022037001,https://kawalpemilu.org/h/11050220371,null,null,null,127,20,0
1105022037002,https://kawalpemilu.org/h/11050220372,null,null,null,138,29,6
1105022063001,https://kawalpemilu.org/h/11050220631,null,null,null,null,null,null
1105022007001,https://kawalpemilu.org/h/11050220071,null,null,null,null,null,null
1105022007002,https://kawalpemilu.org/h/11050220072,null,null,null,null,null,null
1105022009001,https://kawalpemilu.org/h/11050220091,null,null,null,null,null,null
1105022004001,https://kawalpemilu.org/h/11050220041,null,null,null,null,null,null
1105022004002,https://kawalpemilu.org/h/11050220042,null,null,null,null,null,null
1105022020001,https://kawalpemilu.org/h/11050220201,null,null,null,114,13,4
1105022020002,https://kawalpemilu.org/h/11050220202,null,null,null,117,19,1
1105022016001,https://kawalpemilu.org/h/11050220161,null,null,null,null,null,null
1105022016002,https://kawalpemilu.org/h/11050220162,null,null,null,null,null,null
1105022010001,https://kawalpemilu.org/h/11050220101,null,null,null,208,24,0
1105022010002,https://kawalpemilu.org/h/11050220102,null,null,null,200,25,1
1105022042001,https://kawalpemilu.org/h/11050220421,null,null,null,null,null,null
1105022042002,https://kawalpemilu.org/h/11050220422,null,null,null,126,20,2
1105022019001,https://kawalpemilu.org/h/11050220191,null,null,null,null,null,null
1105022003001,https://kawalpemilu.org/h/11050220031,null,null,null,114,33,3
1105022003002,https://kawalpemilu.org/h/11050220032,null,null,null,135,25,1
1105022051001,https://kawalpemilu.org/h/11050220511,null,null,null,null,null,null
1105022051002,https://kawalpemilu.org/h/11050220512,null,null,null,null,null,null
1105022051003,https://kawalpemilu.org/h/11050220513,null,null,null,null,null,null
1105022051004,https://kawalpemilu.org/h/11050220514,null,null,null,null,null,null
1105022018001,https://kawalpemilu.org/h/11050220181,null,null,null,175,19,3
1105022041001,https://kawalpemilu.org/h/11050220411,null,null,null,196,41,3
1105022008001,https://kawalpemilu.org/h/11050220081,null,null,null,223,31,2
1105022008002,https://kawalpemilu.org/h/11050220082,null,null,null,196,48,5
1105022017001,https://kawalpemilu.org/h/11050220171,null,null,null,124,23,0
1105022017002,https://kawalpemilu.org/h/11050220172,null,null,null,null,null,null
1105022050001,https://kawalpemilu.org/h/11050220501,null,null,null,null,null,null
1105022050002,https://kawalpemilu.org/h/11050220502,null,null,null,null,null,null
1105022048001,https://kawalpemilu.org/h/11050220481,null,null,null,null,null,null
1105022048002,https://kawalpemilu.org/h/11050220482,null,null,null,157,13,2
1105022014001,https://kawalpemilu.org/h/11050220141,null,null,null,null,null,null
1105022014002,https://kawalpemilu.org/h/11050220142,null,null,null,null,null,null
1105022012001,https://kawalpemilu.org/h/11050220121,null,null,null,null,null,null
1105022012002,https://kawalpemilu.org/h/11050220122,null,null,null,null,null,null
1105022039001,https://kawalpemilu.org/h/11050220391,null,null,null,null,null,null
1105022038001,https://kawalpemilu.org/h/11050220381,null,null,null,null,null,null
1105022038002,https://kawalpemilu.org/h/11050220382,null,null,null,null,null,null
1105022015001,https://kawalpemilu.org/h/11050220151,null,null,null,null,null,null
1105022015002,https://kawalpemilu.org/h/11050220152,null,null,null,null,null,null
1105022022001,https://kawalpemilu.org/h/11050220221,null,null,null,125,25,8
1105022052001,https://kawalpemilu.org/h/11050220521,null,null,null,151,35,2
1105022052002,https://kawalpemilu.org/h/11050220522,null,null,null,129,51,1
1105022052003,https://kawalpemilu.org/h/11050220523,null,null,null,134,47,4
1105022011001,https://kawalpemilu.org/h/11050220111,null,null,null,null,null,null
1105022011002,https://kawalpemilu.org/h/11050220112,null,null,null,null,null,null
1105022023001,https://kawalpemilu.org/h/11050220231,null,null,null,225,45,2
1105022036001,https://kawalpemilu.org/h/11050220361,null,null,null,175,38,3
1105022040001,https://kawalpemilu.org/h/11050220401,null,null,null,54,116,19
1105022045001,https://kawalpemilu.org/h/11050220451,null,null,null,null,null,null
1105022045002,https://kawalpemilu.org/h/11050220452,null,null,null,null,null,null
1105022013001,https://kawalpemilu.org/h/11050220131,null,null,null,null,null,null
1105022013002,https://kawalpemilu.org/h/11050220132,null,null,null,null,null,null
1105092021001,https://kawalpemilu.org/h/11050920211,null,null,null,173,31,3
1105092021002,https://kawalpemilu.org/h/11050920212,null,null,null,173,31,3
1105092021003,https://kawalpemilu.org/h/11050920213,null,null,null,132,67,14
1105092026001,https://kawalpemilu.org/h/11050920261,null,null,null,74,80,9
1105092026002,https://kawalpemilu.org/h/11050920262,null,null,null,86,81,7
1105092007001,https://kawalpemilu.org/h/11050920071,null,null,null,null,null,null
1105092015001,https://kawalpemilu.org/h/11050920151,null,null,null,null,null,null
1105092015002,https://kawalpemilu.org/h/11050920152,null,null,null,186,36,3
1105092015003,https://kawalpemilu.org/h/11050920153,null,null,null,171,41,4
1105092015004,https://kawalpemilu.org/h/11050920154,null,null,null,null,null,null
1105092015005,https://kawalpemilu.org/h/11050920155,null,null,null,186,39,6
1105092015006,https://kawalpemilu.org/h/11050920156,null,null,null,null,null,null
1105092014001,https://kawalpemilu.org/h/11050920141,null,null,null,null,null,null
1105092014002,https://kawalpemilu.org/h/11050920142,null,null,null,174,41,5
1105092014003,https://kawalpemilu.org/h/11050920143,null,null,null,185,57,4
1105092014004,https://kawalpemilu.org/h/11050920144,null,null,null,165,50,7
1105092014005,https://kawalpemilu.org/h/11050920145,null,null,null,194,48,2
1105092014006,https://kawalpemilu.org/h/11050920146,null,null,null,171,52,6
1105092003001,https://kawalpemilu.org/h/11050920031,null,null,null,null,null,null
1105092003002,https://kawalpemilu.org/h/11050920032,null,null,null,143,40,5
1105092003003,https://kawalpemilu.org/h/11050920033,null,null,null,null,null,null
1105092013001,https://kawalpemilu.org/h/11050920131,null,null,null,194,58,7
1105092013002,https://kawalpemilu.org/h/11050920132,null,null,null,null,null,null
1105092013003,https://kawalpemilu.org/h/11050920133,null,null,null,185,55,6
1105092013004,https://kawalpemilu.org/h/11050920134,null,null,null,164,71,10
1105092013005,https://kawalpemilu.org/h/11050920135,null,null,null,167,77,3
1105092013006,https://kawalpemilu.org/h/11050920136,null,null,null,198,53,5
1105092006001,https://kawalpemilu.org/h/11050920061,null,null,null,192,51,1
1105092006002,https://kawalpemilu.org/h/11050920062,null,null,null,null,null,null
1105092005001,https://kawalpemilu.org/h/11050920051,null,null,null,157,33,5
1105092005002,https://kawalpemilu.org/h/11050920052,null,null,null,146,44,4
1105092012001,https://kawalpemilu.org/h/11050920121,null,null,null,145,26,7
1105092012002,https://kawalpemilu.org/h/11050920122,null,null,null,null,null,null
1105092012003,https://kawalpemilu.org/h/11050920123,null,null,null,null,null,null
1105092011001,https://kawalpemilu.org/h/11050920111,null,null,null,156,37,5
1105092011002,https://kawalpemilu.org/h/11050920112,null,null,null,null,null,null
1105092009001,https://kawalpemilu.org/h/11050920091,null,null,null,127,18,4
1105092022001,https://kawalpemilu.org/h/11050920221,null,null,null,158,77,8
1105092022002,https://kawalpemilu.org/h/11050920222,null,null,null,null,null,null
1105092022003,https://kawalpemilu.org/h/11050920223,null,null,null,172,60,4
1105092022004,https://kawalpemilu.org/h/11050920224,null,null,null,null,null,null
1105092022005,https://kawalpemilu.org/h/11050920225,null,null,null,null,null,null
1105092022006,https://kawalpemilu.org/h/11050920226,null,null,null,123,76,4
1105092022007,https://kawalpemilu.org/h/11050920227,null,null,null,null,null,null
1105092022008,https://kawalpemilu.org/h/11050920228,null,null,null,null,null,null
1105092022009,https://kawalpemilu.org/h/11050920229,null,null,null,190,42,5
1105092022010,https://kawalpemilu.org/h/110509202210,null,null,null,null,null,null
1105092022011,https://kawalpemilu.org/h/110509202211,null,null,null,177,59,5
1105092022901,https://kawalpemilu.org/h/1105092022901,null,null,null,145,59,13
1105092022902,https://kawalpemilu.org/h/1105092022902,null,null,null,null,null,null
1105092019001,https://kawalpemilu.org/h/11050920191,null,null,null,184,26,6
1105092019002,https://kawalpemilu.org/h/11050920192,null,null,null,null,null,null
1105092019003,https://kawalpemilu.org/h/11050920193,null,null,null,209,26,10
1105092019004,https://kawalpemilu.org/h/11050920194,null,null,null,null,null,null
1105092019901,https://kawalpemilu.org/h/1105092019901,null,null,null,92,15,5
1105092018001,https://kawalpemilu.org/h/11050920181,null,null,null,174,62,6
1105092017001,https://kawalpemilu.org/h/11050920171,null,null,null,150,50,10
1105092017002,https://kawalpemilu.org/h/11050920172,null,null,null,185,47,7
1105092017003,https://kawalpemilu.org/h/11050920173,null,null,null,185,51,2
1105092017004,https://kawalpemilu.org/h/11050920174,null,null,null,153,75,9
1105092024001,https://kawalpemilu.org/h/11050920241,null,null,null,null,null,null
1105092008001,https://kawalpemilu.org/h/11050920081,null,null,null,192,60,2
1105092001001,https://kawalpemilu.org/h/11050920011,null,null,null,174,33,5
1105092001002,https://kawalpemilu.org/h/11050920012,null,null,null,159,36,1
1105092002001,https://kawalpemilu.org/h/11050920021,null,null,null,null,null,null
1105092002002,https://kawalpemilu.org/h/11050920022,null,null,null,null,null,null
1105092002003,https://kawalpemilu.org/h/11050920023,null,null,null,186,78,3
1105092002004,https://kawalpemilu.org/h/11050920024,null,null,null,158,82,3
1105092010001,https://kawalpemilu.org/h/11050920101,null,null,null,null,null,null
1105092010002,https://kawalpemilu.org/h/11050920102,null,null,null,176,47,6
1105092020001,https://kawalpemilu.org/h/11050920201,null,null,null,null,null,null
1105092025001,https://kawalpemilu.org/h/11050920251,null,null,null,null,null,null
1105092016001,https://kawalpemilu.org/h/11050920161,null,null,null,null,null,null
1105092016002,https://kawalpemilu.org/h/11050920162,null,null,null,156,47,2
1105092016003,https://kawalpemilu.org/h/11050920163,null,null,null,null,null,null
1105092016004,https://kawalpemilu.org/h/11050920164,null,null,null,null,null,null
1105092023001,https://kawalpemilu.org/h/11050920231,null,null,null,null,null,null
1105092023002,https://kawalpemilu.org/h/11050920232,null,null,null,null,null,null
1105092023003,https://kawalpemilu.org/h/11050920233,null,null,null,null,null,null
1105092023004,https://kawalpemilu.org/h/11050920234,null,null,null,null,null,null
1105092004001,https://kawalpemilu.org/h/11050920041,null,null,null,null,null,null
1105092004002,https://kawalpemilu.org/h/11050920042,null,null,null,null,null,null
1105092004003,https://kawalpemilu.org/h/11050920043,null,null,null,210,44,3
1105092004004,https://kawalpemilu.org/h/11050920044,null,null,null,191,71,3
1105092004005,https://kawalpemilu.org/h/11050920045,null,null,null,209,53,1
1105082005001,https://kawalpemilu.org/h/11050820051,null,null,null,null,null,null
1105082003001,https://kawalpemilu.org/h/11050820031,null,null,null,null,null,null
1105082021001,https://kawalpemilu.org/h/11050820211,null,null,null,null,null,null
1105082002001,https://kawalpemilu.org/h/11050820021,null,null,null,null,null,null
1105082022001,https://kawalpemilu.org/h/11050820221,null,null,null,null,null,null
1105082010001,https://kawalpemilu.org/h/11050820101,null,null,null,135,48,2
1105082017001,https://kawalpemilu.org/h/11050820171,null,null,null,null,null,null
1105082015001,https://kawalpemilu.org/h/11050820151,null,null,null,147,93,2
1105082024001,https://kawalpemilu.org/h/11050820241,null,null,null,107,73,3
1105082012001,https://kawalpemilu.org/h/11050820121,null,null,null,null,null,null
1105082012002,https://kawalpemilu.org/h/11050820122,null,null,null,null,null,null
1105082019001,https://kawalpemilu.org/h/11050820191,null,null,null,null,null,null
1105082007001,https://kawalpemilu.org/h/11050820071,null,null,null,null,null,null
1105082007002,https://kawalpemilu.org/h/11050820072,null,null,null,null,null,null
1105082009001,https://kawalpemilu.org/h/11050820091,null,null,null,136,18,1
1105082009002,https://kawalpemilu.org/h/11050820092,null,null,null,null,null,null
1105082023001,https://kawalpemilu.org/h/11050820231,null,null,null,null,null,null
1105082023002,https://kawalpemilu.org/h/11050820232,null,null,null,null,null,null
1105082020001,https://kawalpemilu.org/h/11050820201,null,null,null,null,null,null
1105082020002,https://kawalpemilu.org/h/11050820202,null,null,null,null,null,null
1105082011001,https://kawalpemilu.org/h/11050820111,null,null,null,null,null,null
1105082011002,https://kawalpemilu.org/h/11050820112,null,null,null,null,null,null
1105082006001,https://kawalpemilu.org/h/11050820061,null,null,null,null,null,null
1105082006002,https://kawalpemilu.org/h/11050820062,null,null,null,null,null,null
1105082013001,https://kawalpemilu.org/h/11050820131,null,null,null,null,null,null
1105082013002,https://kawalpemilu.org/h/11050820132,null,null,null,null,null,null
1105082014001,https://kawalpemilu.org/h/11050820141,null,null,null,149,36,1
1105082014002,https://kawalpemilu.org/h/11050820142,null,null,null,164,43,1
1105082025001,https://kawalpemilu.org/h/11050820251,null,null,null,100,49,4
1105082025002,https://kawalpemilu.org/h/11050820252,null,null,null,117,42,4
1105082004001,https://kawalpemilu.org/h/11050820041,null,null,null,null,null,null
1105082004002,https://kawalpemilu.org/h/11050820042,null,null,null,null,null,null
1105082004003,https://kawalpemilu.org/h/11050820043,null,null,null,null,null,null
1105082001001,https://kawalpemilu.org/h/11050820011,null,null,null,null,null,null
1105082001002,https://kawalpemilu.org/h/11050820012,null,null,null,null,null,null
1105082008001,https://kawalpemilu.org/h/11050820081,null,null,null,null,null,null
1105082018001,https://kawalpemilu.org/h/11050820181,null,null,null,null,null,null
1105082018002,https://kawalpemilu.org/h/11050820182,null,null,null,null,null,null
1105082016001,https://kawalpemilu.org/h/11050820161,null,null,null,null,null,null
1105082016002,https://kawalpemilu.org/h/11050820162,null,null,null,null,null,null
1105122007001,https://kawalpemilu.org/h/11051220071,null,null,null,null,null,null
1105122017001,https://kawalpemilu.org/h/11051220171,null,null,null,176,75,4
1105122004001,https://kawalpemilu.org/h/11051220041,null,null,null,null,null,null
1105122016001,https://kawalpemilu.org/h/11051220161,null,null,null,79,21,0
1105122006001,https://kawalpemilu.org/h/11051220061,null,null,null,null,null,null
1105122015001,https://kawalpemilu.org/h/11051220151,null,null,null,null,null,null
1105122013001,https://kawalpemilu.org/h/11051220131,null,null,null,null,null,null
1105122013002,https://kawalpemilu.org/h/11051220132,null,null,null,103,35,3
1105122018001,https://kawalpemilu.org/h/11051220181,null,null,null,null,null,null
1105122011001,https://kawalpemilu.org/h/11051220111,null,null,null,null,null,null
1105122019001,https://kawalpemilu.org/h/11051220191,null,null,null,137,23,1
1105122019002,https://kawalpemilu.org/h/11051220192,null,null,null,119,28,2
1105122012001,https://kawalpemilu.org/h/11051220121,null,null,null,221,31,1
1105122012002,https://kawalpemilu.org/h/11051220122,null,null,null,211,39,1
1105122001001,https://kawalpemilu.org/h/11051220011,null,null,null,193,34,3
1105122001002,https://kawalpemilu.org/h/11051220012,null,null,null,null,null,null
1105122001003,https://kawalpemilu.org/h/11051220013,null,null,null,188,37,3
1105122002001,https://kawalpemilu.org/h/11051220021,null,null,null,160,96,5
1105122003001,https://kawalpemilu.org/h/11051220031,null,null,null,null,null,null
1105122003002,https://kawalpemilu.org/h/11051220032,null,null,null,null,null,null
1105122009001,https://kawalpemilu.org/h/11051220091,null,null,null,72,53,3
1105122005001,https://kawalpemilu.org/h/11051220051,null,null,null,null,null,null
1105122014001,https://kawalpemilu.org/h/11051220141,null,null,null,null,null,null
1105122010001,https://kawalpemilu.org/h/11051220101,null,null,null,null,null,null
1105122008001,https://kawalpemilu.org/h/11051220081,null,null,null,null,null,null
1105052001001,https://kawalpemilu.org/h/11050520011,null,null,null,153,18,3
1105052001002,https://kawalpemilu.org/h/11050520012,null,null,null,135,45,1
1105052008001,https://kawalpemilu.org/h/11050520081,null,null,null,null,null,null
1105052002001,https://kawalpemilu.org/h/11050520021,null,null,null,null,null,null
1105052002002,https://kawalpemilu.org/h/11050520022,null,null,null,null,null,null
1105052002003,https://kawalpemilu.org/h/11050520023,null,null,null,null,null,null
1105052006001,https://kawalpemilu.org/h/11050520061,null,null,null,null,null,null
1105052005001,https://kawalpemilu.org/h/11050520051,null,null,null,null,null,null
1105052003001,https://kawalpemilu.org/h/11050520031,null,null,null,null,null,null
1105052003002,https://kawalpemilu.org/h/11050520032,null,null,null,null,null,null
1105052007001,https://kawalpemilu.org/h/11050520071,null,null,null,148,31,1
1105052007002,https://kawalpemilu.org/h/11050520072,null,null,null,129,32,8
1105052004001,https://kawalpemilu.org/h/11050520041,null,null,null,null,null,null
1105052004002,https://kawalpemilu.org/h/11050520042,null,null,null,null,null,null
1105052004003,https://kawalpemilu.org/h/11050520043,null,null,null,null,null,null
1105052009001,https://kawalpemilu.org/h/11050520091,null,null,null,null,null,null
1105052009002,https://kawalpemilu.org/h/11050520092,null,null,null,null,null,null